Title,Category Name,Experience,Sub Category Name,Currency,Budget,Location,Freelancer Preferred From,Type,Date Posted,Description,Duration,Client Registration Date,Client City,Client Country,Client Currency,Client Job Title
Photoshop cold sore spot onto lip,"Video, Photo & Image",Entry ($),Image Editing,GBP,50.0,remote,ALL,fixed_price,2023-01-23 20:19:22,"Hi,

Need to very realistically Photoshop a cold sore spot onto lips, for a health/art project.

Cold sore image examples attached

",,2018-05-22,Northampton,United Kingdom,GBP,
Create  ‘Bespoke’ Chain for Handbag Straps,Design,Expert ($$$),Fashion & Clothing,GBP,250.0,remote,ALL,fixed_price,2023-01-23 20:12:21,"TODAY’S BRIEF …To Get Proposed Business Launched
To source,… 
T-bars 2. Chain (with unique design) and 3. Jump rings that have all already been designed and are available to buy to create a series of 16cm long pieces of chain that will have a T-bar at one end and a jump ring at the other end.

Just Like this Skull Bracelet But with Openable-Closable Jump Ring
One of the attachments shown below shows a skull bracelet that looks very much like the kind of 16cm long piece I would to have created - please note the T-bar at one end and jump ring at the other. The 16cm chain lengths will be employ to create chain-leather-chain handbag straps like the one shown in one of the attachments below. Without the need for cutting/welding, a handbag factory will attach the chains to leather straps by prying the jump rings open, threading the jump rings through eyelets on the leather straps and then closing the jump rings closed - that why the jump rings at the end of each 16cm long chain length has to be openable-closable. 

Material
Ideally, I would like these creation to look like shiny silver but be created from the kind of material usually employ to create handbag ‘hardware’. Oftentimes this is zinc alloy or brass, I think.


A Set of 4 Identical 16cm Long Unique Chain Pieces  (Times At Least 4)
For the first such unique chain that is sourced I would like four identical of such 16cm long pieces created. Then I would like to repeat that at least three more times - with three different unique chain designs. (So in total, I will end up with at least 16 pieces of the 16cm long creations.

Can You Source/Suggest Candidate Chain Design?
I would love one of the set of four 16cm chain length to created from a skull design just like the shown skull bracelet. Can you source such a chain? I would love if you could source similar chains that are made of identifiable items i .e chain made of interconnected , say, dogs, flowers, cats, other animals etc. And/or can you source chain designs that you think will help create beautiful handbags? 

Here Are My Candidate Chain Designs, …. 
Braided Curb chain …. please see attachment
Double Curb chain
Box Belcher chain
Byzantine chain

FUTURE BRIEF…If the Business Does Well..Fully Bespoke 16cm Chains
If the business does well in the medium to long term future, I most definitely will be having 10s, maybe over 100, of such chains that are fully bespoke created. If you service this brief, it is most likely that you will be the first person I will come to when  fully bespoke chains are to be created.  

I am based in the U.K. Wherever you may be in the world, I hope we can work out a way to work together at minimum risk to both you and myself. 

I have quoted a rough guide fee of £250 fee that is negotiable. 

(I reserve the right to edit this brief)",,2019-05-07,Bristol,United Kingdom,GBP,
Edit a raw 60 sec Instagram video about English Grammar,"Video, Photo & Image",Entry ($),Videography,GBP,10.0,remote,ALL,fixed_price,2023-01-23 20:12:21,"I need a 60 second raw video edited to blur background, improve audio and put cations on relevant to what i'm saying and basically make it look 'Instagramable'

Thanks

Jon

",,2019-03-19,London,United Kingdom,GBP,SEO Copywriter
Show Programme cover created,Design,Intermediate ($$),Graphic Design,GBP,65.0,remote_country,GB,fixed_price,2023-01-23 20:12:02,"My dance school is having their 10 year show and we need the front cover of the programme designing.

The name for the show is ""Decennio di danza""

We would require our logo on the design along with venue, date etc",less than 1 week,2021-05-19,Plymouth,United Kingdom,GBP,
Logo for podcast ,Design,Intermediate ($$),Logo Design,GBP,70.0,remote,ALL,fixed_price,2023-01-23 19:48:12,"We are looking for a logo for our new podcast 

The Wolf, the Mag and the Cock

(Cock being Cockerel) 

We’d be looking at incorporating all three animals into it aligned in order - potentially just the heads.
The title underneath, in fonts and surround of 80’s hot pink neon green and a purple 

Though open to suggestion on the colour scheme as I am colourblind ",,2023-01-23,London,United Kingdom,GBP,
SEO assistant needed on a weekly basis,Digital Marketing,Expert ($$$),SEO,EUR,120.0,remote,ALL,fixed_price,2023-01-23 19:44:11,"Hi there, 

I'm looking for a talented SEO assistant who can optimize my website and set it up for an official launch. I would also need help optimizing my existing articles. Every week I will have 4 new articles on the website and I'm in need of somebody who can assist me with posting these articles as well. 

I'm looking for somebody proactive, who can push the website forward and comes up with different strategies for a more successful business.

A big plus would be, if you have an experience in affiliate marketing as the next step for me is to be applying for affiliates.

I'm looking forward to your proposals
Simona 

PS. Pay will be divided weekly, I'm currently offering 30 euros a week.",,2015-08-08,Amsterdam,Netherlands,EUR,Junior Art Director
i need a flyer/mail out designing,"Marketing, Branding & Sales",Expert ($$$),Direct Marketing,GBP,132.0,remote,ALL,fixed_price,2023-01-23 19:10:32,"Hi.
I am a property photographer based in east sussex in the uk. I need a promotional flyer/mail out designed for me give to potential clients whilst i drop in and visit them to promote my services. It needs to be in theme with my web site www.bparkphoto.com and include my prices and services offered. photos floorplans and videos. 
If antone thinks they can help. please take a look at the web site just to give you an idea of the theme. many thanks ",,2015-01-12,London,United Kingdom,GBP,Interiors and Property Photographer www.benpark.co.uk
Work for a private travel company  ,"Marketing, Branding & Sales",Entry ($),Direct Marketing,GBP,21.0,remote,ALL,hourly,2023-01-23 19:10:54,"I am looking for 2 people to work with me for a few hours a week. 
About the work opportunity. We are partners of a US travel platform. It’s a private travel club to be more exact that offers great deals for its customers in exchange for membership ( Like Netflix for travel).
Your main work will be to use the platform and share it (with a personal referral). You will need to reach people (by Facebook, website, blog, Instagram, Tik Tok, word of the mouth, or others) who have sufficient money to travel. You will have to find these contacts.

What they propose in exchange :

- Build your own business with flexible hours

- No experience needed, full training provided

- Work from home (you only need an internet connexion and a laptop)

- 9-year-old US company with headquarter in US, UK,HK, and Paris (France)

- Opportunity for mid - a long-term vision with evolution (fixed salary and commissions)

- Working for this company will give you access to huge discounts when you’ll be traveling with your friend and family

People interested in getting to know more about it can send a Bid. I will be able to give you the whole presentation of the work opportunity.

Best Regards, Oscar",,2022-12-09,Salvador,Brazil,USD,Travel Advantage Recruiting new entrepreneur !
Certified translation Swedish to English(UK English),Writing & Translation,Expert ($$$),Translation,USD,122.0,remote,ALL,fixed_price,2023-01-23 19:10:32,"17 pages of Swedish educational documents/certifications that must be translated into English.

Both the original and the translated copy must have a stamped certificate from an Authorised Translator.

",,2021-11-01,East Molesey,United Kingdom,USD,
3 x fun original quizzes (8 questions each),Writing & Translation,Entry ($),Content Writing,GBP,50.0,remote,ALL,fixed_price,2023-01-23 19:01:48,"Hi, I need fun and original quizzes for a new quiz website.

3 quizzes x 8 questions each = 24 questions in total.

Every quiz must have an engaging introduction (150-200 words).

Every question has 2 options and 30-40 words of explanation with a fun fact about the correct option (exciting and interesting fun fact that people might not know).

The end of the quiz has 2-3 versions of text with 30-50 words with humor.

The quizzes must be very fun, positively-minded and engaging. They should entertain and educate the audience. They should be unique and original with no plagiarism (will be checked).

These are for the new website quiztesting.com. If you are interested, please provide 2-3 headlines of the quizzes that you could cover. Thank you",,2022-07-13,London,United Kingdom,GBP,
Distribution center design brief and promo package,Design,Expert ($$$),Interior/Exterior Design,USD,266.0,remote,ALL,fixed_price,2023-01-23 19:01:31,Need an architect who can put together a design brief and marketing package for a distribution center on 10000 sm parcel.,,2016-12-16,Taunton,United States,USD,
Office Building Design brief and promo package,Design,Expert ($$$),Interior/Exterior Design,USD,266.0,remote,ALL,fixed_price,2023-01-23 19:01:31,Need an architect who can put together a design brief for a 15-story office building. ,,2016-12-16,Taunton,United States,USD,
Shoe designer experienced using Blender ,Design,Entry ($),3D Design,GBP,100.0,remote,ALL,fixed_price,2023-01-23 18:23:25,"Hello,

I’m looking for someone who can produce a  3D model of a stiletto court shoe in Blender.

I have an idea of what I want to achieve. I can provide reference pictures. 

I will also need the original Blender file so I can edit your work myself using Blender.

I will need the work complete by Friday end of day. 

Is this something you can do? Please get in touch with your rates.

Thank you

",less than 1 week,2020-11-11,London,United Kingdom,GBP,
social media,Social Media,Entry ($),Social Media Assistance,GBP,60.0,remote,ALL,fixed_price,2023-01-23 18:07:58,(Facebook & Instagram will have similar posts hence will be taken as one platform giving a total of 5 per week. Tik Tok also will have 5 a week. Total of 10 posts for one business a week. Two business will be 20 posts a week. ),,2021-11-23,Birmingham,United Kingdom,GBP,
Wordpress - Fix a basic Gmaps Geocoding API search function,Technology & Programming,Entry ($),Programming & Coding,GBP,20.0,remote,ALL,hourly,2023-01-23 18:07:58,"I have a basic plugin that is intended to search Wordpress user locations (latitude, longitude stored in a separate table). The search form consists of just a location and radius. The 'location' should use the gmaps geocode API to get lat/lng, but instead I'm getting ""Geocoding API Error: REQUEST_DENIED"".

Geocoding is enabled, and is working - I can verify this by using an Advanced Custom Fields map field.

I need someone to fix the search funtion.",,2014-02-04,Aldershot,United Kingdom,GBP,Web Developer
Make my PDF meal plans pretty - canva maybe,Design,Expert ($$$),Books & Magazines,USD,122.0,remote,ALL,fixed_price,2023-01-23 17:46:34,"I am an online nutrition coach.
I design meal plans on my app and then convert them into PDF's, the meals and days end up being split up by page breaks and the PDFs just dont look good
Then I have meal/recipe pages that were done on powerpoint but I would like the information and meal images transferred on maybe a canva design

These PDFs all go to my clients in email form, but I want to compile them into a ebook and print version book

I have approx 12 meal plans (approx 36 recipes) that I need pretty quick (couple of week) but total I have close to 50 meal plans (each with 3-4 recipes)

Canva would be nice as you could use my account so I have the template if need",,2016-07-25,Malibu,United States,USD,
Compiling worksheets for a Family law case ,Writing & Translation,Expert ($$$),Transcription,GBP,200.0,remote,ALL,fixed_price,2023-01-24 01:30:55,"Documents need to put together in a family law case.
Sample worksheets are attached for reference and guidelines.
Need to fill in the information and work towards preparing and finalizing the documentation so it is easily understood by the Panel of Jury.
The whole point of the documentation is to present it at the courts so timelines, incidents, events are evidence to backup the arguments are all in one line and the story is clear.

Let me know how you can do it. There is opening worksheet, worksheet for events of time-line to be prepared.

I need someone who can whatsapp call me and take down notes and put things together and to give a complete presentation.",,2015-08-29,Wembley,United Kingdom,GBP,
Simple rugby kicking game,Technology & Programming,Expert ($$$),Game Development,GBP,500.0,remote,ALL,fixed_price,2023-01-23 17:46:34,"I am looking for costs for a rugby kicking game to be built. 
This will be used mainly on a windows touchscreen device but mobile and online also. The game would need to be playable in both portrait and landscape.

Similar in style to these.
https://pikpok.com/games/flick-kick-rugby/
https://game-game.com/223710/

We would need access to be able to change assets/images so that we can use this for different clients
I would also like a registration form to capture players details (prior to play) and a leaderboard system showing the top 10 scores.
",1 - 2 weeks,2008-06-16,Sheffield,United Kingdom,GBP,
SaaS platform - Design,Technology & Programming,Expert ($$$),Data Science & Analysis,GBP,363.0,remote,ALL,fixed_price,2023-01-23 17:15:20,"I hope you are well. I am looking for someone to help me with software design and then design and develop the front-end user platform. 
At this stage it would be - an example of the art of the possible and some mock ups. 

This is because I am in initial concept phase and need to find someone to work with that is willing to sign an NDA. I've had a look at your portfolio and would love to explore working with you.
",,2015-09-16,Hemel Hempstead,United Kingdom,GBP,
Quick review of notice period in UK contract,Business,Entry ($),Legal Services,GBP,6.0,remote,ALL,fixed_price,2023-01-23 17:08:54,"Should be a quick one for someone with experience here.

Just need some to read these short sections and then tailor the answer to my current circumstances.",1 day or less,2016-11-02,Glasgow,United Kingdom,GBP,ACCA Qualified Accountant
Facebook Ads Management (Not setup),Social Media,Expert ($$$),Facebook Marketing,GBP,500.0,remote,ALL,fixed_price,2023-01-23 17:02:48,"I am looking for a Facebook ads specialist to manage our ads.

I help Health Practitioners and Fitness Experts transition online so they can get off the one-to-one hamster wheel & generate $10k+ months",,2012-10-24,Spalding,United Kingdom,GBP,
Effect adobe premier pro,"Video, Photo & Image",Entry ($),Filmmaking,EUR,25.0,remote,ALL,hourly,2023-01-23 16:35:05,"Looking for someone who can show me how to do very quick zoom effect like; https://youtu.be/EU_rrxll0i8

-by making quick how to tutorial (by screenrecord)
",,2022-03-08,Gorinchem,Netherlands,EUR,
front-end developer expertise in maps and geospatial searches,Technology & Programming,Expert ($$$),Website Development,GBP,709.0,remote,ALL,fixed_price,2023-01-23 16:35:48,"We are looking for an experienced developer to create a simple yet efficient website for locating places on the map based on various geographical features. The website main objective is to provide an interactive way of finding locations that fit multiple criteria and connect as many data sources as possible. The website does not require any fancy graphics, but it does need a user-friendly interface and efficient functionality to support complex search queries for terrain features, elevations, and POIs. The search criteria will need to be easily modifiable, and the site should support data from multiple back-end sources such as Google Maps, OpenStreetMap and EU governmental land registries. Viewing should be optimized for 4K resolution e.g. for PC and large screen laptops. Each finalized query should be save-able and easy to retrieve via direct URL link.
The developer for this project should have the following skills:
    • Strong experience with JavaScript and front-end technologies such as HTML, CSS, and jQuery
    • Familiarity with map APIs such as Google Maps and OpenStreetMap
    • Experience with geospatial search and queries
    • Experience with creating user-friendly interfaces and efficient functionality
    • Strong experience with Cartography programming
    • Familiarity with GIS (Geographic Information Systems) software
    • Familiarity with various EU governmental mapping sources such as Poland's GUGiK, geoportal.gov.pl, Greece's National Cadastre and Mapping Agency, and Croatia's Geodetic Institute.
The developer should be able to choose the appropriate libraries for the project and provide justification for their choice. Popular libraries for these tasks include:
    • Leaflet.js, OpenLayers, Mapbox GL JS, Turf.js, etc.
The first implementation of this website will be a proof of concept, so clear and expandable code, as well as good documentation, are crucial. We would also like the application to be delivered in a ready-to-deploy Docker container. This is our first job listing on a gig-economy site and we are looking forward to working with a skilled developer to bring our projects to life.",1 - 2 weeks,2023-01-23,Warsaw,Poland,USD,
Wireframe Creation - 3 Layouts,Design,Expert ($$$),Web Design,GBP,120.0,remote,ALL,fixed_price,2023-01-23 16:29:28,"I need someone to create 3 wireframes (desktop and mobile) in Adobe XD based on an existing Shopify theme layout (with some minor changes)

These should be exported as PDF documents.  Please allow for 2 rounds of minor changes and the final XD file should be provided so I can import it into my own Adobe XD account with instructions.

I'm looking for something of the attached standard.  Please attach examples of your previous work with your reply.",,2011-11-05,Wandsworth,United Kingdom,GBP,
WEB DEVELOPER WITH ALL SKILS FRAME REQUIRED,Technology & Programming,Entry ($),Website Development,EUR,120.0,remote,ALL,fixed_price,2023-01-23 16:21:07,"Hello, we are looking for a web developer who can work on changes for our several websites
1. www.LuxuryHotelsMagazines.com (small chages in functionality needing and cost will be 50 euro for this)
2. www.Datingsite.host   (re-design needing. Design is ready but we need to implement into the website it self. Cost will be 70 euro for thsi project)
You are more than welcome to add both web together.  We usually changing Luxuryhotelsmagazines.com all the time and will be needing more help in the future.

Thank you

",,2012-07-15,Limassol,Cyprus,USD,Marketing Specialist Company
SharePoint list - notification/rule required,Technology & Programming,Expert ($$$),Website Development,USD,40.0,remote,ALL,hourly,2023-01-23 16:21:07,Hi - can someone explain how I send out a notification or rule in a SharePoint List when today's date is the same as as a column date in the List (like a 3 days before date)? Please see me feedback. Thanks.,,2015-08-11,City of London,United Kingdom,GBP,Full Stack Developer - SAFe Certified
Arabic Translation,Writing & Translation,Entry ($),Translation,USD,10.0,remote,ALL,fixed_price,2023-01-23 16:21:07,I need a translation for English to Arabic,,2020-07-30,Suleja,Nigeria,USD,
Media B2B management ,Social Media,Expert ($$$),Linkedin Marketing,GBP,23.0,remote_country,GB,hourly,2023-01-23 15:57:39,"Seeking a a firm to manage Linkedin and Twitter B2B accounts for a healthcare consultancy firm. Need to be UK based and evidence B2B health experience. Including access to a blog writer who can write detailed, robust and fully cited works. The accounts require growth and marketing. 

UK based only.",Ongoing,2022-07-07,Glasgow,United Kingdom,GBP,
3D plan of site multiple villas or flats,Design,Entry ($),Interior/Exterior Design,GBP,83.0,remote,ALL,fixed_price,2023-01-23 15:29:16,"Hi,

I need a sketch up of the potential of various sites for buyers. We are an estate agency and have various lands in Africa we want to give the site value to buyers but need rough sketch ups of for example 20 villas of 500sqm each which can be exactly identical so copy and paste with a road included and then road of the surrounding. 

https://www.google.com/url?sa=i&url=https%3A%2F%2Fall3dp.com%2F1%2Fhow-to-make-a-3d-printed-architecture-model%2F&psig=AOvVaw07Kjm91FI22ZggiJyl53DO&ust=1674573536545000&source=images&cd=vfe&ved=0CA8QjRxqFwoTCPCLn9j-3fwCFQAAAAAdAAAAABAG  - I have also attached it. 

We would require the road size (sqm), any turning space, then amount of villas we can make within that site with how many sqm where you can find a design on this site  for the sqm we are asking for https://www.architecturaldesigns.com/house-plans/search 


Below is a example, as you can see it is copy and paste each villa is similar with a road. ",,2022-11-10,London,United Kingdom,GBP,
Full stack developer,Technology & Programming,Expert ($$$),Programming & Coding,GBP,363.0,remote,ALL,fixed_price,2023-01-23 15:33:12,"I need a full stack developer experienced in Azure Devops, C+, Vue, and Mongo DB. You will work alongside our principal architect to develop backend and frontend apps and provide endpoints for our mobile app developers.
Our platform is build on Azure stack so will you need to be experienced in Microsoft dev environments. You will need more than 5 years experience as a full stack developer, have excellent written and spoken English to communicate with the rest of our team.",,2020-07-13,Milton Keynes,United Kingdom,GBP,
Written Business Plan,Writing & Translation,Intermediate ($$),Business Writing,GBP,100.0,remote,ALL,fixed_price,2023-01-23 15:29:16,I require a business plan written up for a start-up Domicillary Healthcare Provider.  I will provide all information on commence of project.,,2015-12-15,City of London,United Kingdom,GBP,
React developer,Technology & Programming,Expert ($$$),Programming & Coding,USD,31.0,remote,ALL,hourly,2023-01-23 15:32:56,"I have an existing ReactJs front end that contains a public facing pages and (what needs to be) private dashboard & user profile. It needs to connect to an existing Laravel Json API that uses Passport authentication. 

I need the Auth components developed and implemented into the React frontend to allow user to register & login to the API and return the user information as well as separate public routes (public facing pages) and private routes (user profile & dashboard). Please quote to do this work. Note it is only developing the Auth functionality in the React app, the rest of the react components are built, including login, register components and the API backend is all set up and functioning with API endpoints setup..",,2022-04-07,Brisbane,Australia,USD,
Animation to prepare NICU families for taking their baby home,Design,Intermediate ($$),Animation,GBP,125.0,remote,ALL,fixed_price,2023-01-23 15:32:36,"We are looking for someone to help us create an animation with 5 tips to support parents when taking their baby home from the neonatal unit. 
 
Previously, we have made an animation titled ‘5 tips for Dads on their neonatal journey’ which is linked here: https://www.youtube.com/watch?v=JBdog9qBRJs
 
We would like this animation to be similar in style and length, and we have access to Adobe stock where we can pull vector illustrations from. There will be a voiceover to accompany and background music which we can supply.

The video will be about 3 minutes in total. It would also be good for you to have previous experiences with Reel videos. We’re also looking to have these 5 tips feature over 5 separate Reel videos for Instagram – although these will pull directly from the main animation so shouldn’t involve much tweaking. Each Reel will be between 30-45 seconds long. 
 
If you think this project sounds like something you could create, please send us a message with some of your previous work.

Thank you!
",,2023-01-17,Poole,United Kingdom,GBP,
Restaurant App required,Technology & Programming,Intermediate ($$),Mobile App Development,GBP,299.0,remote,ALL,fixed_price,2023-01-23 15:29:16,"I need someone to design, develop and launch (to App Store and Google) a restaurant ordering app very similar to https://apps.apple.com/gb/app/shama-bingley/id1504083783
The app doesnt need to take payments yet (may be required in the future) so cash on delivery is the only option. 
Customers need the option to ""create account"", ""login to account"" or ""order as a guest""
When the order is sent to the restaurant it must be in the correct order (starters, mains, sides etc) irrespective of the order the customer adds the items to the cart (the app must sort these to the correct order).
Thanks",,2016-01-28,Bradford,United Kingdom,GBP,"Web Developer, SEO and Photographer"
Traccar Android Client,Technology & Programming,Expert ($$$),Mobile App Development,GBP,400.0,remote,ALL,fixed_price,2023-01-23 15:29:15,"We have a few devices all running different Android Versions like, Android 9, some 10, and most recently 11

The issue we are facing is that the normal Traccar app is not loading on boot and therefore not sending tracking information to the server, we have disabled Battery Optimisation etc etc without any luck

However if you open the app manually it starts to begin sending data to the server again.

We are therefore seeking someone to develop our own Traccar Android client that would install, show us the device identifier to put into the admin side and then run in the background indefinitely.",,2012-09-14,Nottingham,United Kingdom,GBP,
Help with a domain redirect ,Technology & Programming,Entry ($),Website Development,GBP,20.0,remote,ALL,fixed_price,2023-01-23 15:04:48,"I'm looking for someone to help with a couple of domain redirects to a landing page.  imagine it's very straightforward and maybe a simple DNS fix. I tried to add the redirect myself and then the page when offline, I've reversed it and I don't want to touch it! ",,2022-06-21,Seaham,United Kingdom,GBP,
NEED FAST:  Info chart showing text as spokes on a wheel,Design,Expert ($$$),Graphic Design,USD,110.0,remote,ALL,fixed_price,2023-01-23 22:39:03,"Goal: To produce a PDF of a 24x36 color wall chart that depicts each department’s contribution to a Wheel of Goals, organized by four Values.  Must look professional, but need not be fancy: it is for one-time use.

Completion Date: <24 hours.

Please look at my crude free-hand draft of what the final product might look like, with placeholder text, attached.  

I will not respond to generic spam replies. I will reply only to those who respond with an estimated time of completion for this project, as I am on a tight deadline.

English fluency is required due to the text-based nature of this project.

For the person hired for the project, I have detailed instructions and requirements, and color-coded final text to copy/paste into the wheel.  ",1 day or less,2016-06-28,Northampton,United States,USD,
Multiple document formatting to new document template,Writing & Translation,Expert ($$$),Business Writing,USD,150.0,remote,ALL,fixed_price,2023-01-23 21:03:53,"Please quote a price per page - so 50 pages at $X.XX per page would be ?? 
We have about 10 compliance documents in various old formats (in word of PDF) and we want someone to take our new Word Template format and convert these documents into this format. You need to be very (very) capable in Word so that the new documents do not lose formatting, or break when brought back into our system. An example of the documents;
Employee Manual - 46 pages
Quality Manual - 40 pages
HSE Manual - 26 pages 
Code of Ethics Policy - 6 pages
Human Rights  - 2 pages
FCPA Policy - 12 pages
Export Compliance Manual - 28 pages
I have uploaded some examples but could not load the new template as I ran out of uploads.
All tables of contents must auto fill correctly",less than 1 week,2015-12-04,Houston,United States,USD,President
Gin Label Colour and Contrast Editing,"Video, Photo & Image",Expert ($$$),Image Editing,GBP,120.0,remote,ALL,fixed_price,2023-01-23 18:08:27,"We require a designer to edit a gin label in InDesign. The label has already been designed but we're looking for someone with experience in colour editing so we can achieve greater depth and feeling through the build up of colour and I presume working with the contrast, brightness etc... 

I've attached screenshots of the front and back label and also an image example of the type of colour style we're looking to achieve on these labels. ",less than 1 week,2020-12-02,London,United Kingdom,GBP,
WordPress/Elementor Web Dev: Menu issues,Design,Entry ($),Web Design,GBP,10.0,remote,ALL,fixed_price,2023-01-23 15:29:16,"Hi,

One of my WordPress websites is having issues.

There is a dropdown menu installed in the header, but it is a good distance away from the actual menu (needs bringing up) and when the slider loads on the page, the dropdown menu seems to disappear behind it.

I have put together a screenrecording to show the issues.

Thanks!",,2021-12-22,Deeside,United Kingdom,GBP,Award-Winning Social Media & PPC Freelancer
Prevent Image Hotlinking  AWS Cloudfront,Technology & Programming,Entry ($),Website Development,GBP,25.0,remote,ALL,fixed_price,2023-01-23 15:29:15,"Hi,

I am looking for a developer to provide some assistance to prevent image hotlinking on 3rd party websites. We use CloudFront cdn on on our Magento 2 store. We would like some advice on preventing image hotlinking via htaccess or cloudfront directly.

Thanks",,2015-09-27,Manchester,United Kingdom,GBP,Blog Owner
Floor Plan Drawings,Design,Entry ($),Computer-Aided Design (CAD),GBP,30.0,remote,ALL,fixed_price,2023-01-23 15:04:48,"We would like to have Floor Plans drawing A1 size and scale 1:100

At this point in time we need just a simple plans.

I have attached three plans, one is to show you the layout from another project so you get a feel of what we are looking for, and the other one  is show you what we want drawn by my self, the 3rd plan is to show you my previous designer did, he did 14 units, but we have changed plans to make only 5 units now.

There is also a 2 notes to consider:
1.
Site coverage with buildings should be within the range 25% to 75%, although in certain exceptional cases these parameters may be varied. Adequate provision is to be made within the sites for the loading/unloading of commercial vehicles, and to avoid the need for reversing onto the highway.
Parking provision must be made within the sites to the standards required by the local planning authority.

2.
Sites are subject to a 10.7m building line along the north side of Lancaster Road and a 7.6m building line along the south side of Lancaster Road, as measured from the back of the public footpath. No buildings or other structures are to be erected in excess of 1m in height in front of these building lines, although the area may be surfaced and used for parking/circulation space or be landscaped.






",,2009-11-20,Healing,United Kingdom,GBP,Buyer for company
Skin care products ,"Video, Photo & Image",Expert ($$$),Professional Photography,GBP,204.0,remote,ALL,fixed_price,2023-01-23 15:04:48,Looking for photos for amazon ,,2016-01-21,London,United Kingdom,GBP,owner
Children's book illustration in Disney style,Design,Expert ($$$),Books & Magazines,EUR,250.0,remote,ALL,fixed_price,2023-01-23 14:50:35,"This project involves creating illustrations for a children's book in the style of Disney animation. The illustrations will depict characters and scenes from the book, and will be designed to capture the magic and wonder of Disney's beloved animated films. The project may involve creating character designs, story boarding. The goal is to create illustrations that are both visually stunning and emotionally engaging, and that will capture the imagination of young readers.

Details of the current book:
- Chapters: 17
- Every chapter: 4 - 5 pictures
- book size: 8.5inx11in
-E book, Paperback book and Hardback book as well
- we need cover as well. 

",,2013-11-01,Budapest,Hungary,EUR,"Web Programmer, IDM developer, ServiceNow expert"
"Looking for someone to develop a ""Nesting"" programme",Technology & Programming,Entry ($),Programming & Coding,GBP,20.0,remote_country,GB,hourly,2023-01-23 16:05:33,"Hi

Although I am not sure of the terminology, I think we need a ""Nesting"" programme.
Basically, we are looking to determine the best way of cutting a number of sections from a number of sheets in a ""best fit"" way. My understanding is that this would eventually be written in Python.

We have an example of what we need which is available when we have found a provider.

The work will be to complete the project but there would be further work to follow on.",3 - 4 weeks,2017-01-11,Newcastle upon Tyne,United Kingdom,GBP,
Blog Conversion (Copy / Paste),Writing & Translation,Entry ($),Transcription,GBP,55.0,remote,ALL,fixed_price,2023-01-23 14:59:07,"We're looking for a data entry specialist to support the conversion of 170 blog articles from our current website to our new site.

This is mainly copy-paste work from HTML WordPress format to a new template we've developed on our staging site.  I would expect that this process, to begin with, would take about 10-15 Min for each Blog Article, scaling to a much-reduced amount of time the as your team becomes comfortable with the process.  The estimated work would be under 40 Hours.  HOWEVER, a vital portion of this work is to accurately copy / paste the SEO Meta-tagging using YOAST.

As such we're looking for people with a background or experience in Wordpress, Yoast, SEO or content development.

If you have a team that can accomplish this task at high-quality, please feel free to quote.  The Quality of work needed here cannot be understated as these blogs are crucial to our SEO practice with the organization.

Please let me know if this is something your teams can manage.",,2022-09-09,Port Colborne,Canada,USD,
Needed for tomorrow | Data Input - Businesses in local town,Writing & Translation,Intermediate ($$),Research Writing,GBP,18.0,remote,ALL,hourly,2023-01-23 14:34:35,"I need someone to help with a spreadsheet, detailing all of the local businesses in Sale town centre in Greater Manchester. I have the list of business categories and need at least 10 businesses for each category.",,2022-07-27,Manchester,United Kingdom,GBP,"Director, Other Studio"
Facebook posting,Social Media,Entry ($),Facebook Marketing,GBP,12.0,remote,ALL,hourly,2023-01-23 14:26:37,"We require ;

A freelancer with several facebook accounts that can make multiple posts per day in the comments section of identified posts;  See attached.

Facebook limite this activity so you will need multiple accounts.  We will provide a list of accounst you will follow and post on.

Required asap.

",,2022-01-29,Leeds,United Kingdom,GBP,
I need a seamless 300dpi image ,Design,Intermediate ($$),Illustration & Drawing,GBP,65.0,remote,ALL,fixed_price,2023-01-23 14:10:44,Please I am looking for someone to make these images as close as possible high res 400dpi seamless for tiling and printing I would like the work back this week of possible must be 300dpi and seamless ,,2022-05-16,Sleaford,United Kingdom,GBP,
Shopify update ,Technology & Programming,Entry ($),Website Development,USD,145.0,remote,ALL,fixed_price,2023-01-23 14:10:00,"I have website from shopify, and I need to update to more professional 

www.qirattea.com",,2018-07-14,London,United Kingdom,USD,
LEGAL PA/SECRETARY,Business,Expert ($$$),Legal Services,GBP,275.0,remote,ALL,fixed_price,2023-01-23 14:03:25,I NEED A QUALIFIED PARALEGAL WITH NEGLIGENCE CLAIM EXPERIENCE AGAINST HMRC,,2019-02-10,Brighton,United Kingdom,GBP,
Shopping Campaign,Digital Marketing,Expert ($$$),eCommerce Marketing,GBP,105.0,remote,ALL,fixed_price,2023-01-23 14:03:25,"I am looking for someone who can help us to create shopping campaign for the following products:
glass office partitions 
glass home dividers 

we are looking to have a product  (maybe as a sample) that users can see the price and buy now option. we would use a sample product with certain parameters and a fixed price. 

if interested i can send you more details. 

our website is www.inoutsolutions.co.uk

Hana ",,2014-05-27,City of London,United Kingdom,GBP,"Managing Director, In Out Solutions Ltd"
